 
                                                                                                                                                                                                                                                                
 
   caldt        vwretd        sprtrn      spindx
19280123      0.006487       .               .  
19280124      0.003615       .               .  
19280125     -0.010756       .               .  
19280126      0.005810       .               .  
19280127      0.003125       .               .  
19280128     -0.006219       .               .  
19280130     -0.004341       .               .  
19280131      0.003957       .               .  
19280201     -0.002538       .               .  
19280202      0.005391       .               .  
19280203     -0.011881       .               .  
19280204      0.001481       .               .  
19280206      0.000762       .               .  
19280207     -0.001470       .               .  
19280208      0.002431       .               .  
19280209      0.003923       .               .  
19280210     -0.000109       .               .  
19280211      0.000712       .               .  
19280214     -0.005107       .               .  
19280215     -0.001560       .               .  
19280216     -0.002245       .               .  
19280217     -0.015740       .               .  
19280218     -0.002709       .               .  
19280220     -0.002426       .               .  
19280221      0.009614       .               .  
19280223      0.001510       .               .  
19280224      0.003724       .               .  
19280225      0.001134       .               .  
19280227     -0.005070       .               .  
19280228      0.002730       .               .  
19280229      0.005276       .               .  
19280301      0.003081       .               .  
19280302      0.001216       .               .  
19280303      0.006084       .               .  
19280305      0.007974       .               .  
19280306      0.004375       .               .  
19280307     -0.004706       .               .  
19280308      0.003132       .               .  
19280309      0.015632       .               .  
19280310     -0.003012       .               .  
19280312      0.006781       .               .  
19280313     -0.003742       .               .  
19280314      0.001253       .               .  
19280315      0.007998       .               .  
19280316      0.012781       .               .  
19280317      0.002768       .               .  
19280319      0.000998       .               .  
19280320      0.005222       .               .  
19280321      0.008845       .               .  
19280322     -0.002086       .               .  
19280323      0.008920       .               .  
19280324      0.001093       .               .  
19280326      0.012516       .               .  
19280327     -0.005400       .               .  
19280328     -0.002240       .               .  
19280329      0.003076       .               .  
19280330      0.016508       .               .  
19280331     -0.007453       .               .  
19280402     -0.010672       .               .  
19280403      0.006986       .               .  
19280404     -0.001045       .               .  
19280405      0.011899       .               .  
19280409      0.001368       .               .  
19280410     -0.007984       .               .  
19280411      0.016511       .               .  
19280412     -0.002479       .               .  
19280413      0.015575       .               .  
19280414     -0.006404       .               .  
19280416      0.003839       .               .  
19280417     -0.007481       .               .  
19280418     -0.000089       .               .  
19280419      0.005152       .               .  
19280420     -0.013395       .               .  
19280423     -0.008389       .               .  
19280424      0.005283       .               .  
19280425      0.006218       .               .  
19280426      0.007784       .               .  
19280427      0.009541       .               .  
19280428      0.002501       .               .  
19280430      0.000224       .               .  
19280501      0.001614       .               .  
19280502      0.002360       .               .  
19280503      0.004453       .               .  
19280504      0.013343       .               .  
19280507      0.008183       .               .  
19280508     -0.005356       .               .  
19280509     -0.000104       .               .  
19280510     -0.001986       .               .  
19280511      0.006620       .               .  
19280514      0.002872       .               .  
19280515     -0.002249       .               .  
19280516     -0.015829       .               .  
19280517      0.002903       .               .  
19280518     -0.006996       .               .  
19280521     -0.013737       .               .  
19280522     -0.013541       .               .  
19280523      0.018858       .               .  
19280524      0.005399       .               .  
19280525      0.001509       .               .  
19280528     -0.015529       .               .  
19280529      0.010888       .               .  
19280531      0.009438       .               .  
19280601      0.005071       .               .  
19280602      0.006476       .               .  
19280604     -0.019997       .               .  
19280605      0.002301       .               .  
19280606     -0.009102       .               .  
19280607     -0.002320       .               .  
19280608     -0.012613       .               .  
19280609     -0.012137       .               .  
19280611     -0.021612       .               .  
19280612     -0.016461       .               .  
19280613      0.028821       .               .  
19280614      0.007640       .               .  
19280615     -0.013633       .               .  
19280616      0.001071       .               .  
19280618     -0.018986       .               .  
19280619     -0.003563       .               .  
19280620      0.014134       .               .  
19280621     -0.000970       .               .  
19280622     -0.001343       .               .  
19280623     -0.006376       .               .  
19280625      0.002563       .               .  
19280626      0.010552       .               .  
19280627      0.010252       .               .  
19280628      0.009643       .               .  
19280629      0.005156       .               .  
19280630      0.002292       .               .  
19280702     -0.011611       .               .  
19280703      0.015787       .               .  
19280705      0.009327       .               .  
19280706     -0.004243       .               .  
19280707      0.002871       .               .  
19280709      0.000072       .               .  
19280710     -0.001508       .               .  
19280711     -0.023206       .               .  
19280712     -0.007085       .               .  
19280713      0.008142       .               .  
19280714     -0.001415       .               .  
19280716     -0.013238       .               .  
19280717      0.005119       .               .  
19280718      0.011067       .               .  
19280719     -0.002103       .               .  
19280720      0.002113       .               .  
19280721     -0.002788       .               .  
19280723      0.006737       .               .  
19280724     -0.000404       .               .  
19280725      0.005561       .               .  
19280726      0.001327       .               .  
19280727      0.009332       .               .  
19280728      0.002732       .               .  
19280730     -0.000092       .               .  
19280731     -0.001615       .               .  
19280801     -0.000438       .               .  
19280802     -0.004720       .               .  
19280803      0.000300       .               .  
19280804      0.002698       .               .  
19280806      0.007443       .               .  
19280807     -0.002881       .               .  
19280808     -0.011228       .               .  
19280809      0.001101       .               .  
19280810     -0.002980       .               .  
19280811      0.001880       .               .  
19280813     -0.000138       .               .  
19280814     -0.008437       .               .  
19280815      0.016253       .               .  
19280816      0.007506       .               .  
19280817      0.003965       .               .  
19280818      0.003338       .               .  
19280820      0.002028       .               .  
19280821      0.011538       .               .  
19280822      0.001118       .               .  
19280823     -0.000545       .               .  
19280824      0.015235       .               .  
19280825      0.004919       .               .  
19280827     -0.003283       .               .  
19280828      0.007482       .               .  
19280829      0.002361       .               .  
19280830      0.001866       .               .  
19280831      0.012224       .               .  
19280901      0.000207       .               .  
19280904      0.005271       .               .  
19280905      0.004030       .               .  
19280906     -0.005906       .               .  
19280907      0.006685       .               .  
19280908     -0.003318       .               .  
19280910     -0.004851       .               .  
19280911      0.007377       .               .  
19280912      0.003862       .               .  
19280913     -0.001071       .               .  
19280914     -0.000146       .               .  
19280915      0.004952       .               .  
19280917      0.004372       .               .  
19280918     -0.006901       .               .  
19280919      0.000308       .               .  
19280920      0.001033       .               .  
19280921      0.005447       .               .  
19280922     -0.004501       .               .  
19280924      0.007863       .               .  
19280925     -0.001202       .               .  
19280926     -0.000519       .               .  
19280927     -0.010637       .               .  
19280928     -0.000289       .               .  
19280929      0.010494       .               .  
19281001     -0.001819       .               .  
19281002     -0.004632       .               .  
19281003     -0.003218       .               .  
